MIND ON OUR MONEY,5:10,Bone Thugs-N-Harmony,192 kbps,BTNHRESURRECTION,Hip-Hop
Mind Playin' Tricks,2:01,50 Cent & G-Unit,192 kbps,For Love or War,Gangsta Rap
MIND POWER,3:56,A TRIBE CALLED QUEST,192 kbps,"BEATS, RHYMES AND LIFE",RAP
The Mirror,4:05,Ja Rule,192 kbps,The Mirror,Hip Hop/R&B
Misery Needs Company (feat Nor,4:22,Fat Joe,192 kbps,Don Cartagena,Hip-Hop
MISS ELAINE,3:05,RUN D.M.C.,192 kbps,TOUGHER THAN LEATHER,RAP
Miss Me? (Feat. Dub-O),3:16,Machine Gun Kelly,192 kbps,Black Flag,Hip-Hop
Missing You,4:01,112,192 kbps,Part III,R&B
Mistake No. 3,4:35,Culture Club,192 kbps,Waking Up With The House On Fi,New Wave
Mix Masta,1:09,DJ Kevin Halstead,192 kbps,Hard House Diva,House
Mo Thuggin',4:18,Poetic Hustla'z,192 kbps,Family Scriptures Chapter II: Family Reunion,Rock
Mo' Thug Intro,1:52,Krayzie Bone feat. Felecia,192 kbps,Family Scriptures Chapter II: Family Reunion,Rock
Money (remix),2:25,DJ Smallz & Drake feat. Nickelus F,192 kbps,Room for Improvement,Hip-Hop/Rap
Money by Any Mean,3:19,50 Cent feat. N.O.R.E.,192 kbps,Behind da Bars,Rap
Money On My Mind,3:43,Lil Scrappy,192 kbps,Prince Of The South 2,"Hip Hop, Crunk"
"MONEY, MONEY",5:26,Bone Thugs-N-Harmony,192 kbps,THUG WORLD ORDER,RAP
More Bounce To The Ounce,5:14,Zapp & Roger,192 kbps,All The Greatest Hits,R&B/Funk
More Freaky Tales,5:09,Too $hort,192 kbps,Can't Stay Away,
The Morning After Voicemail...,2:01,Machine Gun Kelly,192 kbps,Rage Pack,Hip-Hop
MOTIVATIORS,3:32,A TRIBE CALLED QUEST,192 kbps,"BEATS, RHYMES AND LIFE",RAP
Moving Things,4:06,504 Boyz,192 kbps,Goodfellas,Rap
Moya,4:42,Ariel Pink's Haunted Graffiti,192 kbps,Scared Famous,
MR. MUHAMMAD,3:35,A TRIBE CALLED QUEST,192 kbps,PEOPLES INSTINCTIVE TRAVELS AND THE PATHS OF RHYTHM,RAP
Much Real,3:13,E-A-Ski,192 kbps,Past and Present,Rap
MURDA MUZIK,4:11,MOBB DEEP,192 kbps,MURDA MUZIK,RAP
Murder Ft Turk The Big Tymers,4:11,Mack 10,192 kbps,Bang Or Ball,Rap
MURDER ONE,4:16,Bone Thugs-N-Harmony,192 kbps,BTNHRESURRECTION,Hip-Hop
My Baby Wants to Ride,1:12,Dj Dagwood,192 kbps,Club Series,Techno
My Block,5:29,Big Syke,192 kbps,Big Syke Daddy,Rap
My Body (K.Flay Remix),3:44,Young the Giant,192 kbps,Remix EP,
My Body (Tokyo Police Club Remix),4:20,Young the Giant,192 kbps,Remix EP,
My Body (Two Door Cinema Club Remix),5:01,Young the Giant,192 kbps,Remix EP,
My City Need Something,4:54,PnB Rock,192 kbps,RNB 2,Hip-Hop
MY FOFO,3:55,FAT JOE,192 kbps,ALL OR NOTHING,Rap
My Hoodie ft. Chaz Kangas,2:32,Childish Gambino,192 kbps,Sick Boi ,Hip-Hop
MY KINDA GIRLS,3:57,Terror Squad,192 kbps,Terror Squad: The Album,Rap
My Life,5:17,B.G.,192 kbps,Life After Cash Money,Rap & Hip Hop
My Mistakes,4:40,112,192 kbps,Pleasure & Pain,R&B
My Prerogative (feat Armageddo,4:05,Fat Joe,192 kbps,Don Cartagena,Hip-Hop
My Son and Daughter,4:32,B.G.,192 kbps,Livin' Legend,Gangsta Rap
My Soul,4:15,Coolio,192 kbps,My Soul,Rap
My Whip Hot (Feat  Laroo T.H.H. & Decadez),3:38,E-40,192 kbps,The Block Brochure-Welcome To The Soil Vol. 3,Rap
My Wishes,3:12,Andre Nickatina feat. Equipto,192 kbps,"Bullets, Blunts N Ah Big Bank Roll: The 7 MC Theory",Underground Rap
"My World ""I Want It""",4:09,B.G.,192 kbps,Life After Cash Money,Rap & Hip Hop
My World (feat Big Punisher),3:58,Fat Joe,192 kbps,Don Cartagena,Hip-Hop
N DA CLOSET,3:52,COOLIO,192 kbps,IT TAKES A THIEF,RAP
n word,0:06,Trick Daddy,192 kbps,Thugs Are Us (Explicit Retail),Rap
'N' My City,5:08,B.G.,192 kbps,"It's All on U, Vol. 1",Gangsta Rap
Na Na Na Na (Feat. Supercat),3:44,112,192 kbps,Hot & Wet,R&B
Nail in the Coffin,4:48,Eminem,192 kbps,"Invasion, Part 1: Shady Times",Rap
Napanoch Freestyle,1:26,Saigon,192 kbps,50 Cent VS Saigon,Rap
Nasty Like College Chicks,2:40,Andre Nickatina,192 kbps,"Bullets, Blunts N Ah Big Bank Roll: The 7 MC Theory",Underground Rap
Nation Riders,4:45,Too $hort,192 kbps,Can't Stay Away,
Nature of the Business,4:43,Coolio,192 kbps,My Soul,Rap
NEVA CHANGE,3:55,MOBB DEEP,192 kbps,AMRIKAZ NIGHTMARE,RAP
Neve Eva ft Lil Scrappy & Lil,4:34,Trillville,192 kbps,The King of Crunk & BME Recordings Present: Trillville & Lil Scrappy,Rap
Never Had Feat. Mercedes,3:59,B.G. & The Chopper City Boyz,192 kbps,We Got This,Rap
Never Meant,3:06,Alien Ant Farm,192 kbps,truANT,Rock
Never Mind,4:05,112,192 kbps,Room 112,R&B
Never Talk Down,5:40,Rappin' 4-Tay,192 kbps,Off Parole,Hip-Hop
New And Improved,0:10,Suga Free,192 kbps,Just Add Water,Rap
New Trump,4:16,Rappin' 4-Tay,192 kbps,Off Parole,Hip-Hop
Next Boyfriend (Feat. Knoc-Turn'al),4:55,Nate Dogg,192 kbps,Nate Dogg,Hip-Hop
Nickatina Creation,2:58,Andre Nickatina,192 kbps,Cocaine Raps,Rap
Nickatina Says,3:22,Andre Nickatina,192 kbps,"Daiquiri Factory: Cocaine Raps, Volume 2",Rap
Night And Day ('93 Remix),3:08,Zapp & Roger,192 kbps,All The Greatest Hits,R&B/Funk
Night in New York,3:11,mc DJ,192 kbps,Love Letter in an Unbreakable Bottle,
Nightcrawlers,5:36,mc DJ,192 kbps,Utterances of the Heart,Hip-Hop
Nightlife,2:51,mc DJ,192 kbps,Utterances of the Heart,Hip-Hop
No Dick (Skit),1:03,Mack 10,192 kbps,Bang Or Ball,Rap
No Dick At All Ft Skoop Delani,4:45,Mack 10,192 kbps,Bang Or Ball,Rap
NO HOLDS BARRED,4:05,Sir Mix-A-Lot,192 kbps,Mack Daddy,RAP
No Limit,2:49,504 Boyz,192 kbps,Goodfellas,Rap
No Love,3:50,Tha Dogg Pound,192 kbps,DPGC'Ology [Hosted by DJ Nik Bean],Gangsta Rap
No One Love You,4:29,Dru Down,192 kbps,Fools From The Street,West Coast Hip Hop
No Problem,3:34,Lil Scrappy,192 kbps,The King of Crunk & BME Recordings Present: Trillville & Lil Scrappy,Rap
No Rest for the Wicked,5:06,Cypress Hill,192 kbps,III: Temples of Boom,Blues
No Small Talk ft. Kari Faux (prod. Black Party and Kari Faux),3:16,Gambino,192 kbps,S T N  M T N,
No Surrender No Retreat,4:21,C-Bo,192 kbps,Enemy of The State,
NO WAY OUT,5:10,Bone Thugs-N-Harmony,192 kbps,BTNHRESURRECTION,Hip-Hop
NON-FICTION WORDS BY EAZY-E,0:22,Bone Thugs-N-Harmony,192 kbps,THUG WORLD ORDER,RAP
noodle,3:36,Trick Daddy,192 kbps,Thugs Are Us (Explicit Retail),Rap
Northside Riders,4:11,E-A-Ski feat. B-Legit,192 kbps,Past and Present,Rap
NOT MY BABY,4:30,Bone Thugs-N-Harmony,192 kbps,THUG WORLD ORDER,RAP
Nothin Over My Gz,3:50,C-Bo,192 kbps,Enemy of The State,
Now Wut,3:44,E-A-Ski feat. Spice 1,192 kbps,Past and Present,Rap
Nowhere,3:55,112,192 kbps,Pleasure & Pain,R&B
NOYD INTERLUDE,0:20,MOBB DEEP,192 kbps,MURDA MUZIK,RAP
Nuthin,2:31,Joe Beast feat. Hi-Tek,192 kbps,"Invasion, Part 3: Countdown to Armageddon",Hip-Hop
NY Streetz,3:47,Saigon,192 kbps,50 Cent VS Saigon,Rap
NYPD,4:12,50 Cent,192 kbps,50 Cent VS Saigon,Rap
Odd Toddlers (Feat. Casey Veggies),3:36,"Tyler, The Creator",192 kbps,Bastard,Hip-Hop
Off Parole,4:16,Rappin' 4-Tay,192 kbps,Off Parole,Hip-Hop
OH MY GOD,3:31,A TRIBE CALLED QUEST,192 kbps,MIDNIGHT MARAUDERS,RAP
Oh No,3:57,B.G. feat. Hakizzle,192 kbps,"The Heart of tha Streetz, Vol. 1",Gangsta Rap
Ohio (I'm From That) (feat. DUBO),3:34,Machine Gun Kelly,192 kbps,100 Words And Running,Hip Hop/Rap
On Fire,4:44,G-Unit feat. Eminem,192 kbps,Tha Realest Killaz,Rap
On Fire (Drug Dealer Girl Part II) (feat. Mike Posner),3:06,Machine Gun Kelly,192 kbps,Rage Pack,Hip-Hop
On My Toes (Feat. Baby Bash),3:47,C-Bo,192 kbps,Money to Burn,Gangsta
On My Way Out,4:16,Big Syke,192 kbps,Big Syke Daddy,Rap
ON MY WAY TO HARLEM,3:14,COOLIO,192 kbps,IT TAKES A THIEF,RAP
On tha Block,4:31,B.G.,192 kbps,"The Heart of tha Streetz, Vol. 1",Gangsta Rap
On The Battlefield (Vinyl Bonus Track),0:44,Atmosphere,192 kbps,Seven's Travels,Hip-Hop
On The D-Low,3:54,Lil Scrappy,192 kbps,Prince Of The South 2,"Hip Hop, Crunk"
"On The Real Original (Featuring Akinyele, Screwball, & Cormega)",3:30,Nas,192 kbps,Nasty Nas (91 Demo Tape),Hip-Hop
ON THE RUN,3:46,MOBB DEEP,192 kbps,AMRIKAZ NIGHTMARE,RAP
On Top (Feat. Eyeslow),3:59,C-Bo,192 kbps,Money to Burn,Gangsta
One Mo,3:45,Coolio,192 kbps,My Soul,Rap
One Night (Ft. Konshens & Ty Dolla $ign),3:55,E-40,192 kbps,The Gift Of Gab ,Hip Hop
ONE NIGHT STAND,4:53,Bone Thugs-N-Harmony,192 kbps,BTNHRESURRECTION,Hip-Hop
ONE OF OURS PART II. FEATURING JADAKISS,4:22,MOBB DEEP,192 kbps,AMRIKAZ NIGHTMARE,RAP
ONE TIME'S GOT NO CASE,4:18,Sir Mix-A-Lot,192 kbps,Mack Daddy,RAP
Only 4 U,4:04,B.G.,192 kbps,Livin' Legend,Gangsta Rap
The Only One,4:25,112,192 kbps,Room 112,R&B
The Only Way I Know How To Feel,4:36,Boys Like Girls,192 kbps,Heavy Heart,Rock
Ooh Ahh,3:41,E-A-Ski feat. Yukmouth & Richie Rich,192 kbps,Past and Present,Rap
Ooh La La,4:06,Coolio,192 kbps,My Soul,Rap
"OOH, Whatcha Gonna Do",3:07,RUN DMC,192 kbps,Down With The King,Hip-Hop
Open the Door,3:01,mc DJ,192 kbps,Utterances of the Heart,Hip-Hop
Order of Protection,2:08,50 Cent feat. G-Unit,192 kbps,Gangster and a Gentleman,Rap
OT Hustlin,1:35,Sheek Louch,192 kbps,"Invasion, Part 3: Countdown to Armageddon",Hip-Hop
Otherside Outro,11:05,Mo' Thugs,192 kbps,Family Scriptures Chapter II: Family Reunion,Rock
Outro,2:06,Aseem,192 kbps,"Invasion, Part 3: Countdown to Armageddon",Hip-Hop
Outro,0:05,G-Unit,192 kbps,Tha Realest Killaz,Rap
Outro,0:14,Mack 10,192 kbps,"Ghetto, Gutter & Gangsta",Other
Outro-(Closing Words by 50),0:49,50 Cent,192 kbps,Gangster and a Gentleman,Rap
Outta Control (Feat  Dem Hoodstarz & Mistah F.A.B.),3:33,E-40,192 kbps,Revenue Retrievin: Day Shift,Hip Hop
Over Here (Feat Too Short & Droop-E),4:15,E-40,192 kbps,The Block Brochure-Welcome To The Soil Vol. 3,Rap
P.I.M.P.,3:36,G-Unit feat. Snoop Dogg,192 kbps,Tha Realest Killaz,Rap
P.I.M.P. (remix),2:56,50 Cent feat. Snoop Dogg,192 kbps,Gangster and a Gentleman,Rap
P.I.M.P. (remix),4:10,50 Cent feat. Snoop Dogg,192 kbps,"Invasion, Part 2: Conspiracy Theory",Hip-Hop
The Pack Attack (Ft. FMB DZ & Sada Baby),4:15,E-40,192 kbps,The Gift Of Gab ,Hip Hop
Page 1,3:49,Reservoir Dogs,192 kbps,"Ghetto, Gutter & Gangsta",Other
PAPA CRAZY,4:18,RUN D.M.C.,192 kbps,TOUGHER THAN LEATHER,RAP
Paper Made,3:35,C-Bo,192 kbps,Enemy of The State,
Part Deux,3:15,Fat Joe,192 kbps,Jealous One's Envy,Rap
Party (DC),3:00,mc DJ,192 kbps,Utterances of the Heart,Hip-Hop
Party Over Here,3:29,Rah Digga feat. Lloyd Banks,192 kbps,"Invasion, Part 2: Conspiracy Theory",Hip-Hop
Party Pack,2:35,Foolio,192 kbps,Never Wanted Fame,Hip-Hop
PASS THE GLOCK,4:01,Terror Squad,192 kbps,Terror Squad: The Album,Rap
Passing The Petal To You,2:55,Ariel Pink's Haunted Graffiti,192 kbps,Scared Famous,
Past Future,4:54,Big Syke,192 kbps,Big Syke Daddy,Rap
"Patiently Waiting (live, State Theatre, Detroit)",5:51,50 Cent feat. Eminem,192 kbps,"Invasion, Part 2: Conspiracy Theory",Hip-Hop
Payback Music,1:53,Machine Gun Kelly,192 kbps,100 Words And Running,Hip Hop/Rap
PAYIN DUES,3:51,Terror Squad,192 kbps,Terror Squad: The Album,Rap
Pe$o (Feat. Pusha T & Meek Mill) ,3:14,Machine Gun Kelly,192 kbps,Black Flag,Hip-Hop
Peace God,2:58,50 Cent,192 kbps,50 Cent VS Saigon,Rap
"Peace Of Mind (Feat. Debra Edwards, Cody Elles)",3:33,Suga Free,192 kbps,Just Add Water,Rap
Peaches and Cream,3:14,112,192 kbps,Part III,R&B
The People's Champ (Intro),2:17,Eminem,192 kbps,Straight From The Vault EP,Hip-Hop
Person 2 Person (Feat. Blaqthoven And Klu Dogg),3:53,Suga Free,192 kbps,Just Add Water,Rap
Phat Like That,3:44,Rappin' 4-Tay,192 kbps,Off Parole,Hip-Hop
Phone Time Freestyle,2:05,Saigon,192 kbps,50 Cent VS Saigon,Rap
PHONY RAPPERS,3:36,A TRIBE CALLED QUEST,192 kbps,"BEATS, RHYMES AND LIFE",RAP
Pianist Hands (interlude),1:11,DJ Smallz & Drake,192 kbps,Room for Improvement,Hip-Hop/Rap
Pick of the Club,1:15,Dj Irene & Laura B,192 kbps,Club Series,Techno
Pigs Fly (Feat. Domo Genesis),3:35,"Tyler, The Creator",192 kbps,Bastard,Hip-Hop
Pimin' Ain't Easy,3:35,II True feat. MT5 & 4-U-2-Know,192 kbps,Family Scriptures Chapter II: Family Reunion,Rock
Pimp JuJu (Skit),0:58,Lil' Flip,192 kbps,I Need Mine,Rap
Pimp Of The Year,4:13,Dru Down,192 kbps,Fools From The Street,West Coast Hip Hop
Pimpin And Jackin,4:20,C-Bo,192 kbps,Enemy of The State,
Plan Went Sour,4:56,B.G.,192 kbps,"It's All on U, Vol. 2",Gangsta Rap
Play 4 Life (feat. Chamillionaire),4:01,Lil' Flip,192 kbps,I Need Mine,Rap
Player,4:44,112,192 kbps,Part III,R&B
Please Believe It,4:04,Money Grip,192 kbps,"Ghetto, Gutter & Gangsta",Other
The Pledge,4:18,Machine Gun Kelly,192 kbps,Rage Pack,Hip-Hop
Pocket Full Of Stones pt 2,5:03,UGK,192 kbps,Super Tight,Rap
Pop Yo Collar,4:59,Coolio,192 kbps,El Cool Magnifico,Rap
Porno Star,3:29,G-Unit,192 kbps,Tha Realest Killaz,Rap
The Pots & Pan Man,2:35,E-40,192 kbps,The Gift Of Gab ,Hip Hop
Power of the Dollar,3:03,50 Cent,192 kbps,Behind da Bars,Rap
prairie,4:48,mc DJ,192 kbps,Illin-Noise! The Sufjan Stevens Remix album,Hip-Hop
predatory,2:34,mc DJ,192 kbps,Illin-Noise! The Sufjan Stevens Remix album,Hip-Hop
THE PRESSURE,3:02,A TRIBE CALLED QUEST,192 kbps,"BEATS, RHYMES AND LIFE",RAP
Prince of the South,1:52,Lil Scrappy,192 kbps,Prince Of The South,Hip Hop
Privacy,3:20,Ariel Pink's Haunted Graffiti,192 kbps,Scared Famous,
Problems,3:18,Stat Quo,192 kbps,"Invasion, Part 3: Countdown to Armageddon",Hip-Hop
Problemz,3:57,Big Syke,192 kbps,Big Syke Daddy,Rap
Promise to Be a Hustla,4:20,Money Grip,192 kbps,"Ghetto, Gutter & Gangsta",Other
Protect And Serve,4:36,UGK,192 kbps,Super Tight,Rap
Prove Something,3:55,Fat Joe,192 kbps,Loyalty(Retail),Rap
PUBIC ENEMY,3:49,A TRIBE CALLED QUEST,192 kbps,PEOPLES INSTINCTIVE TRAVELS AND THE PATHS OF RHYTHM,RAP
pull over remix,3:31,Trick Daddy,192 kbps,Thugs Are Us (Explicit Retail),Rap
Pull Ya Skirt Up,3:29,Benzino,192 kbps,"Invasion, Part 1: Shady Times",Rap
Pump Up the Bass,1:34,DJ Bam Bam,192 kbps,Hard House Diva,House
"PUMP, PUMP",4:51,Bone Thugs-N-Harmony,192 kbps,THUG WORLD ORDER,RAP
PUSH IT ALONG,7:42,A TRIBE CALLED QUEST,192 kbps,PEOPLES INSTINCTIVE TRAVELS AND THE PATHS OF RHYTHM,RAP
Push It Up (Pinoy's Pushin' Dub),1:50,Groove Jam,192 kbps,Hard House Diva,House
Pussy Got Me Dizzy,5:06,UGK,192 kbps,Super Tight,Rap
Pussy Got You Whipped,3:56,E-A-Ski,192 kbps,The Black Album,Gangsta
Pussy So Good (feat. Mo B Dick),4:21,Tha Dogg Pound,192 kbps,DPGC'Ology [Hosted by DJ Nik Bean],Gangsta Rap
Put Ya Hands Up,3:48,Suga Free,192 kbps,Just Add Water,Rap
Put Your Hands Up,1:07,Joshua Collins,192 kbps,Hard House Diva,House
"Q, Mike, Slim, Daron (Interlude)",1:59,112,192 kbps,Part III,R&B
The Queen,3:40,Thug Queen feat. Krayzie Bone,192 kbps,Family Scriptures Chapter II: Family Reunion,Rock
Queens Day (Feat Nas & Prodigy Of Mobb Deep),4:19,Run DMC,192 kbps,Crown Royal,Hip-Hop
Quiet,3:00,Alien Ant Farm,192 kbps,truANT,Rock
Quiet Pimpin' (Vinyl Bonus Track),1:02,Atmosphere,192 kbps,Seven's Travels,Hip-Hop
QUIET STORM,4:26,MOBB DEEP,192 kbps,MURDA MUZIK,RAP
QUIET STORM FEATURING LIL KIM (REMIX),4:04,MOBB DEEP,192 kbps,MURDA MUZIK,RAP
R. Stevie's Brain,3:17,Ariel Pink's Haunted Graffiti,192 kbps,Scared Famous,
R.I.P.,4:04,B.G.,192 kbps,Livin' Legend,Gangsta Rap
R.M.F.N.,3:52,Big Syke,192 kbps,Big Syke Daddy,Rap
RADIO STATION,2:50,RUN D.M.C.,192 kbps,TOUGHER THAN LEATHER,RAP
RAGTIME,2:42,RUN D.M.C.,192 kbps,TOUGHER THAN LEATHER,RAP
Rainy Monday,4:00,Shiny Toy Guns,192 kbps,We Are Pilots,Alternative
Raise The Flag ,3:06,Machine Gun Kelly,192 kbps,Black Flag,Hip-Hop
The Ranger,3:32,Suga Free,192 kbps,Just Add Water,Rap
Rap Game,5:00,D12 feat. 50 Cent,192 kbps,"Invasion, Part 1: Shady Times",Rap
Rap N Ggas,2:51,PnB Rock,192 kbps,RNB 2,Hip-Hop
RAP PROMOTER,2:13,A TRIBE CALLED QUEST,192 kbps,THE LOW END THEORY,RAP
A RAPPER'S REPUTATION,5:03,Sir Mix-A-Lot,192 kbps,Mack Daddy,RAP
Rasta Funky Style,4:31,E-40,192 kbps,Federal,"West Coast Hip Hop,Gangsta Rap"
REAL GANGSTAZ FEATURING LIL JON,4:08,MOBB DEEP,192 kbps,AMRIKAZ NIGHTMARE,RAP
Real Hip Hop,2:52,Lil' Flip,192 kbps,I Need Mine,Rap
Real Niggas and Real Bitches,4:02,B.G.,192 kbps,Livin' Legend,Gangsta Rap
REAL NIGGAZ,4:39,MOBB DEEP,192 kbps,AMRIKAZ NIGHTMARE,RAP
Real Niggaz,5:26,N.W.A.,192 kbps,100 Miles And Runnin',Gangsta
THE REALEST FEATURING KOOL G RAP,4:21,MOBB DEEP,192 kbps,MURDA MUZIK,RAP
Realest Killas,2:55,50 Cent feat. 2Pac,192 kbps,Gangster and a Gentleman,Rap
Realest Killaz,2:49,G-Unit feat. 2Pac,192 kbps,Tha Realest Killaz,Rap
The Realest Niggas,2:58,50 Cent feat. The Notorious B.I.G.,192 kbps,Gangster and a Gentleman,Rap
Reality Check,4:30,B.G.,192 kbps,Livin' Legend,Gangsta Rap
"Reality Check, Part 2",5:54,B.G.,192 kbps,Livin' Legend,Gangsta Rap
The Record Spinz,0:55,DJ Bam Bam,192 kbps,Hard House Diva,House
Red Alert ,2:52,Childish Gambino,192 kbps,Sick Boi ,Hip-Hop
Red Dot,3:15,DJ Green Lantern feat. Wyclef & Sheek Louch,192 kbps,"Invasion, Part 3: Countdown to Armageddon",Hip-Hop
Red Light Visions,1:47,Cypress Hill,192 kbps,III: Temples of Boom,Blues
Red Spyda Interlude,0:07,G-Unit,192 kbps,Tha Realest Killaz,Rap
Relax (Ft. Problem),2:42,E-40,192 kbps,The Gift Of Gab ,Hip Hop
Reminder,2:13,DUBO,192 kbps,100 Words And Running,Hip Hop/Rap
Rep Yo' Hood (Feat. Eyeslow),2:36,C-Bo,192 kbps,Money to Burn,Gangsta
Repercussion,3:10,50 Cent,192 kbps,Behind da Bars,Rap
Replacement Killers,4:35,B.G.,192 kbps,Livin' Legend,Gangsta Rap
Respect Mine (Feat. Raekwon),3:21,Fat Joe,192 kbps,Jealous One's Envy,Rap
RESURRECTION,5:15,Bone Thugs-N-Harmony,192 kbps,BTNHRESURRECTION,Hip-Hop
Retaliation,6:05,B.G. feat. Juvenile & Bun B,192 kbps,"It's All on U, Vol. 1",Gangsta Rap
Return,2:13,UGK,192 kbps,Super Tight,Rap
RHYTHM (DEVOTED TO THE ART OF MOVING BUTTS),4:02,A TRIBE CALLED QUEST,192 kbps,PEOPLES INSTINCTIVE TRAVELS AND THE PATHS OF RHYTHM,RAP
Rick Ross Horns (Feat  Marty James),4:14,E-40,192 kbps,Revenue Retrievin: Day Shift,Hip Hop
Ride 2'Night,4:45,B.G. feat. Hot Boy$,192 kbps,"It's All on U, Vol. 1",Gangsta Rap
Ride or Die,5:18,B.G. feat. Lil Wayne & Juvenile,192 kbps,"It's All on U, Vol. 2",Gangsta Rap
RIde Or Die Featuring Lee Mazin,2:44,PnB Rock,192 kbps,RNB 2,Hip-Hop
Ride Till We Die,3:49,C-Bo,192 kbps,Enemy of The State,
Ride With a Playa,4:13,Ken Dawg feat. Krayzie Bone,192 kbps,Family Scriptures Chapter II: Family Reunion,Rock
Ride With That,4:02,B.G.,192 kbps,"The Heart of tha Streetz, Vol. 1",Gangsta Rap
Riden,3:31,50 Cent & G-Unit,192 kbps,For Love or War,Gangsta Rap
RideOnUm,14:00,Big Syke,192 kbps,Big Syke Daddy,Rap
riffs,4:00,mc DJ,192 kbps,Illin-Noise! The Sufjan Stevens Remix album,Hip-Hop
Rigged,4:27,Dru Down,192 kbps,Fools From The Street,West Coast Hip Hop
Right Back Where You Are,3:53,Nate Dogg,192 kbps,Nate Dogg,Hip-Hop
Right Here for U,5:18,112,192 kbps,Hot & Wet,R&B
Right Now,3:56,B.G.,192 kbps,Life After Cash Money,Rap & Hip Hop
THE RIGHTEOUS ONES,4:33,Bone Thugs-N-Harmony,192 kbps,BTNHRESURRECTION,Hip-Hop
Riot,3:38,Flesh-N-Bone,192 kbps,Family Scriptures Chapter II: Family Reunion,Rock
Rock N Roll Interlude,0:25,The Beatnuts,192 kbps,Milk Me,Hip Hop
Rock Show (Feat Stephan Jenkins Of Third Eye Blind),3:14,Run DMC,192 kbps,Crown Royal,Hip-Hop
Rock the House,2:43,Run-D.M.C.,192 kbps,King of Rock,Rap
ROCK YA BODY,3:53,FAT JOE,192 kbps,ALL OR NOTHING,Rap
Roll Up,3:27,Lil Scrappy,192 kbps,Prince Of The South 2,"Hip Hop, Crunk"
Roll With Me,4:07,B.G.,192 kbps,"The Heart of tha Streetz, Vol. 1",Gangsta Rap
"Roll, Roll",3:30,504 Boyz,192 kbps,Goodfellas,Rap
Rolling in My Cadillac,4:13,B.G.,192 kbps,Life After Cash Money,Rap & Hip Hop
Room 112 (Intro),1:01,112,192 kbps,Room 112,R&B
"Roots, Rap, Reggae",3:13,Run-D.M.C.,192 kbps,King of Rock,Rap
Rotten Apple,2:39,50 Cent,192 kbps,Behind da Bars,Rap
Rotten Apple,1:42,50 Cent,192 kbps,Gangster and a Gentleman,Rap
Round And Round,4:13,Nate Dogg,192 kbps,Nate Dogg,Hip-Hop
Round My Way,4:02,B.G. feat. Juvenile,192 kbps,"It's All on U, Vol. 1",Gangsta Rap
Rubber Mallet,3:10,Alien Ant Farm,192 kbps,truANT,Rock
RUDEBOY SALUTE,4:15,Terror Squad,192 kbps,Terror Squad: The Album,Rap
Rule the World,3:42,Mack 10,192 kbps,"Ghetto, Gutter & Gangsta",Other
Rules Of Engagement,2:16,Ja Rule,192 kbps,The Mirror,Hip Hop/R&B
Rumppa Bum Bum,0:33,Andre Nickatina,192 kbps,"Daiquiri Factory: Cocaine Raps, Volume 2",Rap
Run Around Telling Shit Featuring POOK PAPERZ,3:37,PnB Rock,192 kbps,RNB 2,Hip-Hop
Run This Town,3:14,Machine Gun Kelly,192 kbps,100 Words And Running,Hip Hop/Rap
RUN'S HOUSE,3:44,RUN D.M.C.,192 kbps,TOUGHER THAN LEATHER,RAP
Runnin With Bubba,4:37,Bubba Sparxxx,192 kbps,"Dark Days, Bright Nights",Rap
S.O.O. W.O.O. (mix),4:36,Mack 10,192 kbps,"Ghetto, Gutter & Gangsta",Other
S.S. Recognize,3:52,Alien Ant Farm,192 kbps,truANT,Rock
S.T.R.E.S.S.,3:43,DJ Smallz & Drake,192 kbps,Room for Improvement,Hip-Hop/Rap
Sa Prize (Part 2),5:59,N.W.A.,192 kbps,100 Miles And Runnin',Gangsta
SAFE 2 SAY (THE INCREDIBLE),4:01,FAT JOE,192 kbps,ALL OR NOTHING,Rap
The Same,4:08,EA-Ski,192 kbps,1 Step Ahead of Yall,Rap
Same Niggaz (Feat. Domination & D Mac),4:18,C-Bo,192 kbps,Money to Burn,Gangsta
Same Ole Shit,5:26,"B.G. feat. Hakizzle, Gar, Sniper & Vl Mike",192 kbps,"The Heart of tha Streetz, Vol. 1",Gangsta Rap
Sample Junky,0:55,DJ Trajic,192 kbps,Hard House Diva,House
Sarah Wynn,3:24,Alien Ant Farm,192 kbps,truANT,Rock
The Sauce,3:34,Eminem,192 kbps,"Invasion, Part 1: Shady Times",Rap
Say Brah (radio),3:07,504 Boyz,192 kbps,Goodfellas,Rap
Say It To My Face,3:45,Lil' Flip,192 kbps,I Need Mine,Rap
Say Word,3:30,Fat Joe,192 kbps,Jealous One's Envy,Rap
Say Yes,4:04,112,192 kbps,Hot & Wet,R&B
Scared Famous,5:20,Ariel Pink's Haunted Graffiti,192 kbps,Scared Famous,
SCENARIO,4:10,A TRIBE CALLED QUEST,192 kbps,THE LOW END THEORY,RAP
Scent of a Woman,3:09,Andre Nickatina,192 kbps,Cocaine Raps,Rap
The School Of Old (Feat Kid Rock),3:20,Run DMC,192 kbps,Crown Royal,Hip-Hop
A Scorpio's Mind,3:52,DJ Smallz & Drake feat. Nickelus F,192 kbps,Room for Improvement,Hip-Hop/Rap
SEATTLE AIN'T BULLSHITTIN,5:33,Sir Mix-A-Lot,192 kbps,Mack Daddy,RAP
